Deformación por compresión;Esfuerzo de compresión
(mm/mm);(MPa)
0,03792;2,94245
0,03796;2,94445
0,03801;2,94672
0,03806;2,94975
0,0381;2,94907
0,03814;2,94781
0,03818;2,94675
0,03822;2,95096
0,03826;2,95467
0,0383;2,95624
0,03834;2,95873
0,03838;2,95906
0,03843;2,96361
0,03847;2,96272
0,03851;2,96122
0,03856;2,96795
0,03861;2,97016
0,03865;2,96486
0,03869;2,9642
0,03873;2,97037
0,03877;2,97238
0,03881;2,97328
0,03885;2,97332
0,03889;2,97514
0,03893;2,97843
0,03898;2,97915
0,03902;2,98095
0,03906;2,983
0,03911;2,98606
0,03916;2,98883
0,0392;2,98563
0,03924;2,98515
0,03928;2,98882
0,03932;2,99016
0,03936;2,99455
0,0394;2,99375
0,03944;2,99658
0,03948;3,00023
0,03953;2,99924
0,03957;3,00147
0,03962;3,00604
0,03967;3,00592
0,03971;3,00296
0,03975;3,00284
0,03978;3,00643
0,03982;3,0102
0,03987;3,0124
0,03991;3,01266
0,03995;3,01397
0,03999;3,01677
0,04004;3,01923
0,04008;3,0184
0,04012;3,02034
0,04017;3,02308
0,04022;3,02456
0,04026;3,0216
0,04029;3,02276
0,04033;3,02663
0,04037;3,02833
0,04042;3,02971
0,04046;3,03002
0,0405;3,03271
0,04054;3,03523
0,04059;3,03688
0,04063;3,03499
0,04067;3,03965
0,04072;3,04416
0,04077;3,0408
0,04081;3,0414
0,04084;3,04169
0,04088;3,04361
0,04093;3,04596
0,04097;3,04992
0,04101;3,04824
0,04105;3,051
0,04109;3,05551
0,04114;3,05376
0,04118;3,05498
0,04123;3,05932
0,04127;3,05871
0,04131;3,05884
0,04135;3,05982
0,04139;3,06179
0,04143;3,06301
0,04148;3,06604
0,04151;3,06528
0,04156;3,06853
0,0416;3,07117
0,04164;3,07216
0,04169;3,07126
0,04173;3,07383
0,04178;3,07739
0,04182;3,07639
0,04186;3,07441
0,0419;3,07705
0,04194;3,08025
0,04198;3,08305
0,04203;3,08359
0,04207;3,08559
0,04211;3,088
0,04215;3,0902
0,04219;3,09052
0,04224;3,09241
0,04229;3,09551
0,04233;3,09639
0,04237;3,09299
0,04241;3,09603
0,04245;3,09689
0,04249;3,09933
0,04253;3,10224
0,04257;3,10384
0,04261;3,10554
0,04266;3,10707
0,04271;3,10817
0,04275;3,10703
0,04279;3,10928
0,04284;3,11373
0,04288;3,11106
0,04292;3,11277
0,04296;3,11411
0,043;3,11611
0,04304;3,11827
0,04308;3,11984
0,04312;3,11869
0,04316;3,1199
0,04321;3,1243
0,04325;3,1225
0,0433;3,12129
0,04334;3,12662
0,04339;3,12656
0,04343;3,12549
